id;CNAE;Tension;P1;P2;P3;P4;P5;P6;Desc_Municipio_ID;Observatorio
57;1089;25000;400000;400000;400000;0;0;0;8019;8181
71;3600;25000;301000;430000;301000;0;0;0;8307;8181
96;2361;25000;160000;160000;160000;0;0;0;43145;8175
101;8430;25000;100000;364000;100000;0;0;0;8019;8181
102;8411;25000;198100;224000;198100;0;0;0;8019;8181
128;4519;15000;75000;75000;75000;0;0;0;50297;8160
130;8411;15000;4000;55425;4000;0;0;0;42004;8148
135;129;15000;71000;71000;10000;0;0;0;50068;8160
151;146;15000;77000;77000;77000;0;0;0;44022;8235
174;4639;25000;200000;200000;200000;0;0;0;36033;8001
191;4941;25000;55000;55000;55000;0;0;0;14013;8410
196;4121;25000;195000;195000;195000;0;0;0;23007;8417
213;3109;20000;200000;200000;200000;0;0;0;23058;8417
220;3519;25000;90000;90000;90000;0;0;0;14038;8410
232;2920;25000;349000;349000;349000;0;0;0;23039;8417
238;1092;25000;134000;134000;134000;0;0;0;23005;8417
245;124;15000;95000;110000;95000;0;0;0;41024;8391
264;4673;25000;255000;311000;255000;0;0;0;4078;8487
268;2370;25000;90000;260000;90000;0;0;0;4069;8487
281;5510;25000;60000;60000;60000;0;0;0;23076;8417
283;4638;20000;8000;156000;8000;0;0;0;23060;8417
284;4110;20000;146000;156000;128000;0;0;0;4013;8487
286;3530;25000;220000;220000;200000;0;0;0;23002;8417
290;1623;25000;155000;155000;155000;0;0;0;14050;8410
295;4332;20000;221000;250000;218000;0;0;0;29041;8482
306;111;15000;250000;400000;250000;0;0;0;11006;8452
312;5520;15000;76000;117000;76000;0;0;0;11016;8452
320;3030;20000;200000;200000;200000;0;0;0;41081;8391
322;9004;20000;127000;157000;75000;0;0;0;18193;8419
325;8720;25000;80000;120000;80000;0;0;0;23003;8417
327;4619;15000;170000;170000;170000;0;0;0;41017;8391
328;8790;25000;90000;197000;90000;0;0;0;4062;8487
331;8731;20000;100000;100000;100000;0;0;0;23038;8417
334;1043;25000;56000;56000;56000;0;0;0;23046;8417
399;4639;20000;440000;440000;440000;0;0;0;28079;8221
409;1013;13200;400000;400000;400000;0;0;0;37010;8213
474;4110;25000;200000;200000;200000;0;0;0;17167;8184
681;1101;15000;220000;220000;220000;0;0;0;13082;8348
739;1101;15000;280000;280000;280000;0;0;0;11027;8452
835;4332;20000;25000;78000;25000;0;0;0;3106;8285
839;2320;13200;10000;310000;10000;0;0;0;47186;8141
854;7112;25000;335000;335000;335000;0;0;0;8208;8181
864;811;15000;205000;205000;205000;0;0;0;50068;8160
867;1623;15000;130000;130000;130000;0;0;0;50288;8160
874;4638;15000;90000;252000;90000;0;0;0;45034;8348
898;2370;25000;200000;300000;200000;0;0;0;4062;8487
909;3109;20000;178000;179000;178000;0;0;0;23058;8417
910;126;25000;195000;305000;10000;0;0;0;23075;8417
915;6820;15000;160000;160000;160000;0;0;0;11026;8452
922;4520;25000;40000;40000;40000;0;0;0;41039;8391
938;2370;25000;130000;130000;130000;0;0;0;4062;8487
940;2332;20000;145000;145000;145000;0;0;0;11026;8452
941;161;25000;128000;128000;128000;0;0;0;4066;8487
944;4722;25000;25000;60000;25000;0;0;0;4047;8487
948;2332;15000;124000;165000;124000;0;0;0;41071;8391
951;5510;20000;70000;90000;70000;0;0;0;23096;8417
957;5610;15000;51000;58000;46000;0;0;0;11020;8452
981;4775;20000;51000;51000;51000;0;0;0;29067;8482
987;8299;15000;160000;160000;160000;0;0;0;11020;8452
1001;150;15000;5000;85000;5000;0;0;0;14029;8410
1035;146;20000;65000;80000;65000;0;0;0;44154;8235
1045;1089;13200;140000;140000;140000;0;0;0;10086;8261
1051;6190;15000;5500;5500;5500;0;0;0;10130;8261
1055;1039;13000;45000;140000;45000;0;0;0;10055;8261
1056;1039;13000;33000;60000;33000;0;0;0;10055;8261
1144;6190;15000;107000;254000;107000;0;0;0;48020;8025
1149;4632;13000;55000;55000;55000;0;0;0;6044;8330
1158;1102;15000;320000;320000;320000;0;0;0;26111;8080
1159;3109;13200;4000;175000;4000;0;0;0;9059;8075
1168;1032;20000;50000;51000;50000;0;0;0;46193;8285
1193;6820;13000;125000;200000;115000;0;0;0;20045;8025
1223;2222;30000;30000;80000;30000;0;0;0;20077;8025
1224;4520;20000;160000;320000;150000;0;0;0;28130;8221
1276;6190;20000;122000;122000;118000;0;0;0;12094;8285
1277;6190;11000;119000;119000;119000;0;0;0;3057;8285
1308;2332;20000;50000;100000;50000;0;0;0;46248;8285
1316;2331;20000;234000;234000;234000;0;0;0;12084;8285
1372;6190;15000;140000;140000;136000;0;0;0;2029;8279
1412;7021;20000;155000;200000;155000;0;0;0;28079;8221
1423;5530;20000;110000;142000;110000;0;0;0;30026;8430
1432;161;20000;206000;206000;206000;0;0;0;2037;8279
1434;6820;20000;60000;260000;60000;0;0;0;3099;8285
1441;2332;20000;100000;140000;100000;0;0;0;46159;8285
1444;5510;13000;84000;120000;84000;0;0;0;37274;8213
1476;6820;15000;100000;200000;100000;0;0;0;3014;8285
1507;2822;15000;23000;160000;19000;0;0;0;46250;8285
1509;1814;20000;60000;124000;60000;0;0;0;46159;8285
1516;8731;20000;100000;100000;100000;0;0;0;26089;8080
1542;5510;20000;270000;270000;270000;0;0;0;46250;8285
1557;9319;20000;125000;125000;125000;0;0;0;28079;8221
1564;4730;20000;85000;85000;85000;0;0;0;28068;8221
1586;4765;20000;375000;375000;335000;0;0;0;28005;8221
1587;4765;13000;95000;95000;95000;0;0;0;47186;8141
1588;4765;20000;130000;130000;130000;0;0;0;24089;8055
1590;4765;20000;136000;136000;136000;0;0;0;30030;8430
1591;4765;20000;150000;160000;150000;0;0;0;46223;8285
1592;4765;20000;130000;180000;110000;0;0;0;48015;8025
1593;4765;20000;150000;180000;150000;0;0;0;3119;8285
1594;4765;20000;150000;165000;150000;0;0;0;20069;8025
1595;4765;20000;140000;200000;130000;0;0;0;28148;8221
1596;4765;20000;130000;140000;130000;0;0;0;46078;8285
1597;4765;20000;200000;210000;200000;0;0;0;28007;8221
1599;5811;20000;140000;140000;140000;0;0;0;28079;8221
1604;1061;20000;120000;120000;120000;0;0;0;46235;8285
1658;2530;20000;215000;250000;180000;0;0;0;28009;8221
1659;4771;20000;99000;128000;99000;0;0;0;12040;8285
1719;5610;20000;57000;133000;43000;0;0;0;28148;8221
1720;6820;20000;117000;117000;117000;0;0;0;45168;8348
1736;4639;13200;40000;154000;40000;0;0;0;26036;8080
