ID_OBS;FECHA;TRMax;TRMin
8221;01/01/2019;15,19;-3,5
8231;01/01/2019;16,89;-3,09
8235;01/01/2019;14,6;-5,3
8261;01/01/2019;16;0,8
8279;01/01/2019;16,89;-2,2
8285;01/01/2019;17,7;5,9
8306;01/01/2019;17,2;0,89
8330;01/01/2019;16,1;-1,29
8348;01/01/2019;16,6;-2,2
8383;01/01/2019;19,5;3,4
8391;01/01/2019;17,79;3,09
8410;01/01/2019;17,5;0,5
8417;01/01/2019;16,1;6,19
8419;01/01/2019;17,79;-4,5
8430;01/01/2019;20,6;-0,1
8451;01/01/2019;18,79;1,1
8452;01/01/2019;18,39;9,89
8482;01/01/2019;19,79;3,5
8487;01/01/2019;17,6;8,3
60015;01/01/2019;19,5;10,39
60020;01/01/2019;24,2;15
8001;02/01/2019;12,3;6
8008;02/01/2019;10,39;1
8015;02/01/2019;10,3;4,69
8023;02/01/2019;9,89;7,59
8025;02/01/2019;8,1;5,69
8032;02/01/2019;5,5;-3,29
8042;02/01/2019;11,8;1,29
8055;02/01/2019;10,3;-3,09
8075;02/01/2019;5,69;-2,5
8085;02/01/2019;5,4;1,5
8091;02/01/2019;11,8;-3,2
8094;02/01/2019;6,19;-2,9
8112;02/01/2019;11,89;0
8117;02/01/2019;10;-2,4
8141;02/01/2019;8,39;-2,79
8148;02/01/2019;15,8;-2,5
8160;02/01/2019;11,89;-0,6
8171;02/01/2019;5,9;0,6
8175;02/01/2019;14,89;-0,4
8181;02/01/2019;13;5,4
8184;02/01/2019;15,89;-1,2
8213;02/01/2019;5,4;-1
8221;02/01/2019;13,5;-4,59
8231;02/01/2019;14,8;-4,3
8233;02/01/2019;10,39;-6,69
8235;02/01/2019;11,5;-6,09
8261;02/01/2019;13,6;2,29
8279;02/01/2019;14,39;-0,89
8285;02/01/2019;19;4,9
8306;02/01/2019;19,2;1,6
8330;02/01/2019;16,1;-1,79
8348;02/01/2019;13,89;-1,5
8383;02/01/2019;17,39;2,2
8391;02/01/2019;17,79;2,09
8410;02/01/2019;16,39;-0,3
8417;02/01/2019;15;6,09
8419;02/01/2019;16,7;-4,69
8430;02/01/2019;21;1,5
8451;02/01/2019;18,7;0,2
8452;02/01/2019;16,39;7,9
8482;02/01/2019;22,39;4,59
8487;02/01/2019;17,79;5,8
60015;02/01/2019;18,2;11
60020;02/01/2019;21,5;15,8
8001;03/01/2019;13,6;4,59
8008;03/01/2019;11,39;-2,7
8015;03/01/2019;8,89;2
8023;03/01/2019;8,8;5,8
8025;03/01/2019;10,1;-0,5
8032;03/01/2019;10,5;-8
8042;03/01/2019;14,6;1,89
8055;03/01/2019;14,39;-2,5
8075;03/01/2019;8,1;-2,7
8085;03/01/2019;12,5;-2,59
8091;03/01/2019;12,89;-3,4
8094;03/01/2019;1,6;-5,8
8112;03/01/2019;10,5;0,89
8117;03/01/2019;6,5;-3,09
8141;03/01/2019;9;-2,9
8148;03/01/2019;13,69;-1,2
8160;03/01/2019;10;-1,39
8171;03/01/2019;3,29;0,69
8175;03/01/2019;13,39;-2,5
8181;03/01/2019;14,19;3,2
8184;03/01/2019;15,1;-1,89
8213;03/01/2019;11;-2,5
8221;03/01/2019;14;-3,4
8231;03/01/2019;13,5;-3,7
8233;03/01/2019;11,69;-7,69
8235;03/01/2019;12,1;-7,09
8261;03/01/2019;13;-1,29
8279;03/01/2019;12,39;-3,29
8285;03/01/2019;16,89;4,4
8306;03/01/2019;12,89;1,79
8330;03/01/2019;13,89;-1
8348;03/01/2019;10,89;-2,79
8383;03/01/2019;17;3
8391;03/01/2019;15,89;4,9
8410;03/01/2019;15,8;-0,3
8417;03/01/2019;13,8;4,19
8419;03/01/2019;15,39;-5,4
8430;03/01/2019;14,69;3,9
8451;03/01/2019;18,5;2,29
8452;03/01/2019;18,79;10,8
8482;03/01/2019;17;5,19
8487;03/01/2019;18,5;8,39
60015;03/01/2019;15,89;10,89
60020;03/01/2019;20,89;15
8001;04/01/2019;14,39;3,29
8008;04/01/2019;7,69;-6,19
8015;04/01/2019;9;-1,2
8023;04/01/2019;9,5;4,3
8025;04/01/2019;10,39;-0,89
8032;04/01/2019;12,1;-8,69
8042;04/01/2019;14,89;1,6
8048;04/01/2019;9,89;-1,5
8055;04/01/2019;14,89;-2,29
8075;04/01/2019;10,19;-5,09
